n02481823;n02480855
n02088238;n02088364
n02510455;n02133161
n02112018;n02112137
n02363005;n02444819
n02102318;n02100877
n02134084;n02132136
n02808440;n04493381
n02088094;n02105251
n01616318;n01614925
n02206856;n03530642
n02106550;n02089078
n02480495;n02480855
n01748264;n01740131
n02077923;n02444819
n02190166;n02219486
n02091134;n02091244
n02701002;n03769881
n02088466;n02090379
n02749479;n04090263
n03124170;n04259630
n02883205;n04591157
n02391049;n02397096
n02097298;n02097130
n02607072;n01914609
n02655020;n02526121
n02236044;n02231487
n02447366;n02441942
n02129165;n02125311
n02110341;n02109047
n02096585;n02108915
n02128385;n02128925
n02109525;n02101388
n02088364;n02089867
n02445715;n02488702
n02325366;n02326432
n02423022;n02422699
n02108915;n02096585
n01694178;n01693334
n02110958;n02108422
n02123045;n02123159
n02950826;n04008634
n02526121;n02655020
n02113023;n02113186
n02117135;n02116738
n01843383;n01829413
n01986214;n01978455
n02106662;n02091467
n02099601;n02099712
n02268443;n02268853
n02364673;n02342885
n01820546;n01818515
n02092339;n02100583
n02410509;n02408429
n02797295;n03967562
n02398521;n02077923
n02110185;n02109961
n02486410;n02487347
n02106030;n02105855
n02279972;n02280649
n01443537;n02641379
n02395406;n02396427
n02009912;n02012849
n02437616;n02437312
n02165456;n02169497
n01774750;n01775062
n01531178;n01530575
n01882714;n02490219
n02814860;n02894605
n01806143;n04033901
n02480855;n02481823
n02948072;n03666591
n01910747;n04286575
n02113799;n02113712
n01514859;n01514668
n02793495;n02859443
n02906734;n04367480
n02219486;n02233338
n02226429;n02229544
n02007558;n02012849
n02119022;n02119789
n02939185;n03259280
n01484850;n01491361
n02114367;n02114855
n02106166;n02105855
n02091032;n02091244
n02108089;n02093428
n02085620;n02087046
n02672831;n03495258
n01518878;n02012849
n01860187;n01855672
n01644373;n01644900
n01614925;n01616318
n01534433;n01530575
n02051845;n02002724
n02951358;n03873416
n02112137;n02112018
n01847000;n01855032
n02071294;n02066245
n02823750;n07932039
n02317335;n02321529
n02483362;n02488291
n01630670;n01631663
n01677366;n01688243
n01632777;n01630670
n02843684;n03970156
n02129604;n02123159
n02841315;n03692522
n02802426;n04540053
n02113624;n02113712
n02099712;n02099849
n01494475;n01491361
n01855672;n01847000
n02346627;n02363005
n02909870;n02747177
n01983481;n01985128
n02980441;n03877845
n02066245;n02071294
n02966193;n04371774
n02056570;n02077923
n01498041;n01496331
n01784675;n01990800
n02098286;n02094258
n02992529;n03485407
n01770393;n01985128
n01944390;n01945685
n02086240;n02098413
n02094433;n02097658
n02769748;n04026417
n02130308;n02128385
n02356798;n02137549
n02138441;n02137549
n02233338;n02168699
n01833805;n02206856
n02128757;n02127052
